Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
Sailors and Marine Oilers,43363.76549,,,,,Transportation and Material Moving,"Cannot work remotely, essential",40900,Industrial,,,,,,,,,,,,,,,,,4,72250,21,21,40000
"Teachers and Instructors, All Other",412746.1449,,,,,"Education, Training, and Library",Job can be made virtual,41000,Institutional,,,,,,,,,,,,,,,,,4,74750,22,22,40000
Fallers,7242.006569,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, non-essential",41000,Other/Mixed,,,,,,,,,,,,,,,,,4,77250,23,23,40000
Mechanical Door Repairers,23974.4186,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",41000,Industrial,,,,,,,,,,,,,,,,,4,79750,24,24,40000
"Welders, Cutters, Solderers, and Brazers",420099.5677,,,,,Production,"Cannot work remotely, essential",41000,Industrial,,,,,,,,,,,,,,,,,4,82250,25,25,40000
"Farmers, Ranchers, and Other Agricultural Managers",531958.2282,17,2412,12453,6515,Management,"Cannot work remotely, essential",41100,Other/Mixed,0.343473218,183,15604,14879,2243,11326,699,0.042875544,37900,67000,8306,3235,640,"(124.0, 20124.0]",1,"(56000, 58500]",4,84750,26,26,40000
"Communications Equipment Operators, All Other",10302.27923,,,,,Office and Admin Support,Job can be conducted virtually,41100,Office,,,,,,,,,,,,,,,,,4,87250,27,27,40000
Automotive Body and Related Repairers,160772.5276,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",41100,Industrial,,,,,,,,,,,,,,,,,4,89750,28,28,40000
Metal-Refining Furnace Operators and Tenders,19024.74641,,,,,Production,"Cannot work remotely, essential",41200,Industrial,,,,,,,,,,,,,,,,,4,92250,29,29,40000
"Financial Clerks, All Other",37511.97986,,,,,Office and Admin Support,Job can be conducted virtually,41300,Office,,,,,,,,,,,,,,,,,4,94750,30,30,40000
"Painters, Transportation Equipment",63184.26044,,,,,Production,"Cannot work remotely, essential",41300,Industrial,,,,,,,,,,,,,,,,,4,97250,31,31,40000
Agricultural and Food Science Technicians,26924.10524,151,2901,5166,52835,"Life, Physical, and Social Science","Cannot work remotely, essential",41500,Lab,0.91093257,518,46624,36747,15872,26906,3355,0.067128194,22900,40000,20985,20133,5248,"(40124.0, 60124.0]",1,"(28500, 31000]",4,99750,32,32,40000
Transportation Security Screeners,51334.85748,,,,,Protective Service,"Cannot work remotely, essential",41500,Institutional,,,,,,,,,,,,,,,,,4,102250,33,33,40000
Costume Attendants,7513.970374,,,,,Personal Care and Service,"Cannot work remotely, non-essential",41700,Retail/Services,,,,,,,,,,,,,,,,,4,104750,34,34,40000
Plasterers and Stucco Masons,31715.49215,,,,,Construction and Extraction,"Cannot work remotely, essential",41700,Industrial,,,,,,,,,,,,,,,,,4,107250,35,35,40000
Tax Preparers,97375.30421,63,6299,10285,7662,Business and Financial Operations,Job can be conducted virtually,41800,Office,0.42692372,244,14826,13364,3366,10637,1150,0.071982974,30000,51000,2236,8937,1758,"(124.0, 20124.0]",1,"(38500, 41000]",4,109750,36,36,40000
"Bus Drivers, Transit and Intercity",187055.0864,,,,,Transportation and Material Moving,"Cannot work remotely, essential",41900,Industrial,,,,,,,,,,,,,,,,,4,112250,37,37,40000
Solar Photovoltaic Installers,13589.03937,,,,,Construction and Extraction,"Cannot work remotely, essential",42000,Industrial,,,,,,,,,,,,,,,,,4,114750,38,38,40000
Hazardous Materials Removal Workers,47018.2368,,,,,Construction and Extraction,"Cannot work remotely, essential",42000,Industrial,,,,,,,,,,,,,,,,,4,117250,39,39,40000
Terrazzo Workers and Finishers,3053.311949,,,,,Construction and Extraction,"Cannot work remotely, essential",42100,Industrial,,,,,,,,,,,,,,,,,4,119750,40,40,40000
Radio Operators,1309.171737,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,42200,Industrial,,,,,,,,,,,,,,,,,4,122250,41,41,40000
Carpenters,1095419.879,,,,,Construction and Extraction,"Cannot work remotely, essential",42200,Industrial,,,,,,,,,,,,,,,,,4,124750,42,42,40000
"Education, Training, and Library Workers, All Other",112135.8374,,,,,"Education, Training, and Library",Job can be made virtual,42300,Institutional,,,,,,,,,,,,,,,,,4,127250,43,43,40000
Cement Masons and Concrete Finishers,198025.3609,,,,,Construction and Extraction,"Cannot work remotely, essential",42600,Industrial,,,,,,,,,,,,,,,,,4,129750,44,44,40000
"Community and Social Service Specialists, All Other",107112.7477,,,,,Community and Social Service,Job can be made virtual,42700,Institutional,,,,,,,,,,,,,,,,,4,132250,45,45,40000
Procurement Clerks,68941.24367,,,,,Office and Admin Support,Job can be conducted virtually,42700,Office,,,,,,,,,,,,,,,,,4,134750,46,46,40000
Museum Technicians and Conservators,14902.29243,,,,,"Education, Training, and Library",Job can be made virtual,42800,Institutional,,,,,,,,,,,,,,,,,4,137250,47,47,40000
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",147241.383,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, non-essential",42800,Other/Mixed,,,,,,,,,,,,,,,,,4,139750,48,48,40000
"Electric Motor, Power Tool, and Related Repairers",21442.48245,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",42800,Industrial,,,,,,,,,,,,,,,,,4,142250,49,49,40000
"Health Technologists and Technicians, All Other",133477.6582,,,,,Healthcare Practitioners and Technical,Job can be made virtual,43100,Institutional,,,,,,,,,,,,,,,,,4,144750,50,50,40000
Cargo and Freight Agents,95872.58457,,,,,Office and Admin Support,Job can be made virtual,43200,Office,,,,,,,,,,,,,,,,,4,147250,51,51,40000
Set and Exhibit Designers,35100.41229,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,43300,Office,,,,,,,,,,,,,,,,,4,149750,52,52,40000
Desktop Publishers,11720.10978,,,,,Office and Admin Support,Job can be conducted virtually,43300,Office,,,,,,,,,,,,,,,,,4,152250,53,53,40000
Glaziers,55365.495,,,,,Construction and Extraction,"Cannot work remotely, essential",43400,Industrial,,,,,,,,,,,,,,,,,4,154750,54,54,40000
Machinists,394175.2132,,,,,Production,"Cannot work remotely, essential",43400,Industrial,,,,,,,,,,,,,,,,,4,157250,55,55,40000
Heavy and Tractor-Trailer Truck Drivers,2082045.393,,,,,Transportation and Material Moving,"Cannot work remotely, essential",43400,Industrial,,,,,,,,,,,,,,,,,4,159750,56,56,40000
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",22769.46368,,,,,Production,"Cannot work remotely, essential",43600,Industrial,,,,,,,,,,,,,,,,,4,162250,57,57,40000
Audio and Video Equipment Technicians,100984.3757,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,43700,Industrial,,,,,,,,,,,,,,,,,4,164750,58,58,40000
Agricultural Inspectors,15233.22339,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",44100,Other/Mixed,,,,,,,,,,,,,,,,,4,167250,59,59,40000
Excavating and Loading Machine and Dragline Operators,50563.25216,,,,,Transportation and Material Moving,"Cannot work remotely, essential",44100,Industrial,,,,,,,,,,,,,,,,,4,169750,60,60,40000
Embalmers,4299.134126,,,,,Personal Care and Service,"Cannot work remotely, essential",44200,Retail/Services,,,,,,,,,,,,,,,,,4,172250,61,61,40000
"Earth Drillers, Except Oil and Gas",20270.92608,,,,,Construction and Extraction,"Cannot work remotely, essential",44200,Industrial,,,,,,,,,,,,,,,,,4,174750,62,62,40000
Correctional Officers and Jailers,417194.1878,,,,,Protective Service,"Cannot work remotely, essential",44300,Institutional,,,,,,,,,,,,,,,,,4,177250,63,63,40000
"Pump Operators, Except Wellhead Pumpers",14693.41746,,,,,Transportation and Material Moving,"Cannot work remotely, essential",44300,Industrial,,,,,,,,,,,,,,,,,4,179750,64,64,40000
Engine and Other Machine Assemblers,52788.20686,,,,,Production,"Cannot work remotely, essential",44400,Industrial,,,,,,,,,,,,,,,,,4,182250,65,65,40000
Biological Technicians,80227.3852,152,5404,5137,48415,"Life, Physical, and Social Science","Cannot work remotely, essential",44500,Lab,0.904074544,374,45038,34941,13481,27588,3329,0.06882792,25000,35000,27449,14416,4344,"(40124.0, 60124.0]",1,"(28500, 31000]",4,184750,66,66,40000
Surveying and Mapping Technicians,57110.98016,117,4001,8575,16075,Architecture and Engineering,"Cannot work remotely, essential",44600,Office,0.652129817,184,18824,14354,7978,8801,1718,0.083633531,24000,45000,4956,10343,3168,"(20124.0, 40124.0]",1,"(33500, 36000]",4,187250,67,67,40000
Mental Health and Substance Abuse Social Workers,121154.7822,168,3302,7022,11931,Community and Social Service,Job can be made virtual,44900,Office,0.629504564,151,15053,10121,6612,7832,1340,0.081742207,20000,35000,4855,8100,3466,"(124.0, 20124.0]",1,"(26000, 28500]",4,189750,68,68,40000
Payroll and Timekeeping Clerks,150402.5887,,,,,Office and Admin Support,Job can be conducted virtually,45000,Office,,,,,,,,,,,,,,,,,4,192250,69,69,40000
Reinforcing Iron and Rebar Workers,25313.44232,,,,,Construction and Extraction,"Cannot work remotely, essential",45000,Industrial,,,,,,,,,,,,,,,,,4,194750,70,70,40000
"Education Administrators, Preschool and Childcare Center/Program",69086.09812,19,2403,1835,990,Management,Job can be made virtual,45100,Institutional,0.350442478,26,2575,2277,343,1848,170,0.061930783,38000,65000,1665,649,137,"(124.0, 20124.0]",1,"(53500, 56000]",4,197250,71,71,40000
Credit Counselors,37344.63011,60,6210,10624,15270,Business and Financial Operations,Job can be conducted virtually,45100,Office,0.589711902,260,19660,17563,4890,12823,2092,0.096175064,30000,50000,3383,9482,3046,"(20124.0, 40124.0]",1,"(38500, 41000]",4,199750,72,72,40000
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",293475.9333,164,6102,1225,37054,Community and Social Service,Job can be made virtual,45100,Office,0.967998119,95,29763,19975,13862,14460,1487,0.047584,20000,40000,19957,9404,5125,"(20124.0, 40124.0]",1,"(26000, 28500]",4,202250,73,73,40000
Computer Operators,37591.98338,,,,,Office and Admin Support,Job can be made virtual,45200,Office,,,,,,,,,,,,,,,,,4,204750,74,74,40000
Bailiffs,21061.4755,,,,,Protective Service,"Cannot work remotely, essential",45800,Institutional,,,,,,,,,,,,,,,,,4,207250,75,75,40000
"Patternmakers, Metal and Plastic",3352.900494,,,,,Production,"Cannot work remotely, essential",45800,Industrial,,,,,,,,,,,,,,,,,4,209750,76,76,40000
"Designers, All Other",51029.70686,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,45900,Office,,,,,,,,,,,,,,,,,4,212250,77,77,40000
Licensed Practical and Licensed Vocational Nurses,735978.8302,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",46000,Institutional,,,,,,,,,,,,,,,,,4,214750,78,78,40000
Chefs and Head Cooks,148017.6114,,,,,Food Preparation and Serving,"Cannot work remotely, essential",46000,Retail/Services,,,,,,,,,,,,,,,,,4,217250,79,79,40000
"Eligibility Interviewers, Government Programs",140813.8564,,,,,Office and Admin Support,Job can be made virtual,46000,Institutional,,,,,,,,,,,,,,,,,4,219750,80,80,40000
Choreographers,6889.299632,,,,,"Arts, Design, Entertainment, Media","Cannot work remotely, non-essential",46100,Other/Mixed,,,,,,,,,,,,,,,,,4,222250,81,81,40000
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",62786.68727,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",46100,Other/Mixed,,,,,,,,,,,,,,,,,4,224750,82,82,40000
"Derrick Operators, Oil and Gas",11914.00968,,,,,Construction and Extraction,"Cannot work remotely, essential",46100,Industrial,,,,,,,,,,,,,,,,,4,227250,83,83,40000
Farm Labor Contractors,265.9876032,42,3700,39956,32441,Business and Financial Operations,"Cannot work remotely, essential",46200,Other/Mixed,0.448098678,541,58118,46399,18079,33738,2884,0.047277138,33000,60000,34800,14829,4569,"(60124.0, 80124.0]",1,"(43500, 46000]",4,229750,84,84,40000
"Environmental Science and Protection Technicians, Including Health",34948.7688,157,5403,885,8489,"Life, Physical, and Social Science","Cannot work remotely, essential",46200,Lab,0.90558993,89,8294,6455,2405,5061,326,0.037819026,24000,35000,2878,4595,724,"(124.0, 20124.0]",1,"(28500, 31000]",4,232250,85,85,40000
"Counselors, All Other",49844.87526,165,2307,1167,36422,Community and Social Service,Job can be made virtual,46300,Office,0.968953683,342,32551,27569,7001,20748,1360,0.040104981,21000,35000,23515,7705,2868,"(20124.0, 40124.0]",1,"(26000, 28500]",4,234750,86,86,40000
"Child, Family, and School Social Workers",326875.0786,166,2603,3472,7732,Community and Social Service,Job can be made virtual,46300,Office,0.690110675,56,7052,5197,3685,3214,846,0.107115726,22900,38000,2326,3703,1115,"(124.0, 20124.0]",1,"(26000, 28500]",4,237250,87,87,40000
Legal Secretaries,179367.2318,,,,,Office and Admin Support,Job can be conducted virtually,46300,Office,,,,,,,,,,,,,,,,,4,239750,88,88,40000
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",370819.9214,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",46400,Industrial,,,,,,,,,,,,,,,,,4,242250,89,89,40000
Brickmasons and Blockmasons,84910.39992,,,,,Construction and Extraction,"Cannot work remotely, essential",46500,Industrial,,,,,,,,,,,,,,,,,4,244750,90,90,40000
Social Science Research Assistants,37805.89425,156,5299,1936,7692,"Life, Physical, and Social Science",Job can be made virtual,46600,Office,0.798919817,60,7653,5201,3221,3838,419,0.05190783,20800,40000,2960,3948,1650,"(124.0, 20124.0]",1,"(28500, 31000]",4,247250,91,91,40000
Bus and Truck Mechanics and Diesel Engine Specialists,289839.5754,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",46600,Industrial,,,,,,,,,,,,,,,,,4,249750,92,92,40000
Tire Builders,22452.74135,,,,,Production,"Cannot work remotely, essential",46600,Industrial,,,,,,,,,,,,,,,,,4,252250,93,93,40000
Traffic Technicians,10044.45532,,,,,Transportation and Material Moving,"Cannot work remotely, essential",46600,Industrial,,,,,,,,,,,,,,,,,4,254750,94,94,40000
Water and Wastewater Treatment Plant and System Operators,123148.4735,,,,,Production,"Cannot work remotely, essential",46800,Industrial,,,,,,,,,,,,,,,,,4,257250,95,95,40000
Mine Cutting and Channeling Machine Operators,5246.91289,,,,,Construction and Extraction,"Cannot work remotely, essential",46900,Industrial,,,,,,,,,,,,,,,,,4,259750,96,96,40000
Security and Fire Alarm Systems Installers,76309.31515,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",46900,Industrial,,,,,,,,,,,,,,,,,4,262250,97,97,40000
Food Service Managers,297210.6789,24,2413,2020,973,Management,"Cannot work remotely, essential",47100,Retail/Services,0.325091881,22,2449,1658,1040,1151,70,0.027788805,35000,62000,1911,305,70,"(124.0, 20124.0]",1,"(51000, 53500]",4,264750,98,98,40000
Writers and Authors,148262.8034,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,47100,Office,,,,,,,,,,,,,,,,,4,267250,99,99,40000
"Maintenance Workers, Machinery",82272.26794,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",47100,Industrial,,,,,,,,,,,,,,,,,4,269750,100,100,40000
Athletes and Sports Competitors,17239.88227,,,,,"Arts, Design, Entertainment, Media","Cannot work remotely, non-essential",47200,Other/Mixed,,,,,,,,,,,,,,,,,4,272250,101,101,40000
Music Directors and Composers,61815.33077,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,47300,Other/Mixed,,,,,,,,,,,,,,,,,4,274750,102,102,40000
Surgical Technologists,112298.0591,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",47300,Institutional,,,,,,,,,,,,,,,,,4,277250,103,103,40000
Hoist and Winch Operators,3681.973661,,,,,Transportation and Material Moving,"Cannot work remotely, essential",47300,Industrial,,,,,,,,,,,,,,,,,4,279750,104,104,40000
"Production, Planning, and Expediting Clerks",367518.2242,,,,,Office and Admin Support,Job can be conducted virtually,47400,Industrial,,,,,,,,,,,,,,,,,4,282250,105,105,40000
"Insulation Workers, Mechanical",26999.75541,,,,,Construction and Extraction,"Cannot work remotely, essential",47400,Industrial,,,,,,,,,,,,,,,,,4,284750,106,106,40000
Operating Engineers and Other Construction Equipment Operators,406660.0909,,,,,Construction and Extraction,"Cannot work remotely, essential",47500,Industrial,,,,,,,,,,,,,,,,,4,287250,107,107,40000
Sheet Metal Workers,143481.8216,,,,,Construction and Extraction,"Cannot work remotely, essential",47600,Industrial,,,,,,,,,,,,,,,,,4,289750,108,108,40000
Dredge Operators,2190.271365,,,,,Transportation and Material Moving,"Cannot work remotely, essential",47600,Industrial,,,,,,,,,,,,,,,,,4,292250,109,109,40000
"Artists and Related Workers, All Other",12077.9089,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,47700,Office,,,,,,,,,,,,,,,,,4,294750,110,110,40000
Lodging Managers,47456.09556,27,5601,16820,1678,Management,"Cannot work remotely, non-essential",47800,Retail/Services,0.090712509,295,16318,15690,1751,12313,1042,0.060023041,36000,60000,3275,5351,703,"(124.0, 20124.0]",1,"(48500, 51000]",4,297250,111,111,40000
Athletic Trainers,29623.35085,,,,,Healthcare Practitioners and Technical,Job can be made virtual,47800,Retail/Services,,,,,,,,,,,,,,,,,4,299750,112,112,40000
"Layout Workers, Metal and Plastic",10095.97379,,,,,Production,"Cannot work remotely, essential",47800,Industrial,,,,,,,,,,,,,,,,,4,302250,113,113,40000
Clergy,261962.2434,,,,,Community and Social Service,Job can be made virtual,47900,Institutional,,,,,,,,,,,,,,,,,4,304750,114,114,40000
Recreational Therapists,20010.17249,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",47900,Institutional,,,,,,,,,,,,,,,,,4,307250,115,115,40000
"Service Unit Operators, Oil, Gas, and Mining",53266.38991,,,,,Construction and Extraction,"Cannot work remotely, essential",47900,Industrial,,,,,,,,,,,,,,,,,4,309750,116,116,40000
"Model Makers, Wood",1541.818757,,,,,Production,"Cannot work remotely, essential",47900,Industrial,,,,,,,,,,,,,,,,,4,312250,117,117,40000
"Title Examiners, Abstractors, and Searchers",62356.21402,,,,,Legal Occupations,Job can be conducted virtually,48000,Office,,,,,,,,,,,,,,,,,4,314750,118,118,40000
Commercial Divers,4646.209043,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",48000,Industrial,,,,,,,,,,,,,,,,,4,317250,119,119,40000
Chemical Technicians,65639.95298,153,1103,5347,16226,"Life, Physical, and Social Science","Cannot work remotely, essential",48200,Lab,0.752143884,255,17112,14479,5353,10824,917,0.050862499,22000,40000,5443,9571,2125,"(20124.0, 40124.0]",1,"(28500, 31000]",4,319750,120,120,40000
Statistical Assistants,12118.46431,,,,,Office and Admin Support,Job can be conducted virtually,48300,Office,,,,,,,,,,,,,,,,,4,322250,121,121,40000
Graphic Designers,277539.9371,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,48400,Office,,,,,,,,,,,,,,,,,4,324750,122,122,40000
Aircraft Cargo Handling Supervisors,9610.535116,,,,,Transportation and Material Moving,"Cannot work remotely, essential",48500,Industrial,,,,,,,,,,,,,,,,,4,327250,123,123,40000
Real Estate Sales Agents,443110.5969,,,,,Sales and Related,Job can be made virtual,48700,Office,,,,,,,,,,,,,,,,,4,329750,124,124,40000
Chemical Equipment Operators and Tenders,83446.45973,,,,,Production,"Cannot work remotely, essential",48800,Industrial,,,,,,,,,,,,,,,,,4,332250,125,125,40000
"Meeting, Convention, and Event Planners",127653.4038,46,2105,9005,2908,Business and Financial Operations,Job can be made virtual,48900,Office,0.244103081,158,9881,9105,1468,7378,639,0.060741445,32500,58000,4390,4102,608,"(124.0, 20124.0]",1,"(43500, 46000]",4,334750,126,126,40000
Medical Equipment Repairers,48957.70867,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",48900,Industrial,,,,,,,,,,,,,,,,,4,337250,127,127,40000
"Loading Machine Operators, Underground Mining",3209.432235,,,,,Transportation and Material Moving,"Cannot work remotely, essential",49300,Industrial,,,,,,,,,,,,,,,,,4,339750,128,128,40000
First-Line Supervisors of Gaming Workers,32589.70258,,,,,Personal Care and Service,"Cannot work remotely, non-essential",49400,Retail/Services,,,,,,,,,,,,,,,,,4,342250,129,129,40000
Motorboat Operators,4489.031833,,,,,Transportation and Material Moving,"Cannot work remotely, essential",49400,Industrial,,,,,,,,,,,,,,,,,4,344750,130,130,40000
"Life, Physical, and Social Science Technicians, All Other",67586.27652,160,6007,4754,12223,"Life, Physical, and Social Science","Cannot work remotely, essential",49600,Lab,0.719974083,182,13908,10451,5673,7413,1368,0.089552239,19200,38300,3948,8707,3586,"(124.0, 20124.0]",1,"(28500, 31000]",4,347250,131,131,40000
"First-Line Supervisors of Protective Service Workers, All Other",80712.71077,,,,,Protective Service,"Cannot work remotely, essential",49600,Institutional,,,,,,,,,,,,,,,,,4,349750,132,132,40000
Firefighters,327256.4164,,,,,Protective Service,"Cannot work remotely, essential",49600,Institutional,,,,,,,,,,,,,,,,,4,352250,133,133,40000
Audio-Visual and Multimedia Collections Specialists,10566.86153,,,,,"Education, Training, and Library",Job can be made virtual,49800,Institutional,,,,,,,,,,,,,,,,,4,354750,134,134,40000
"Explosives Workers, Ordnance Handling Experts, and Blasters",23471.396,,,,,Construction and Extraction,"Cannot work remotely, essential",49900,Industrial,,,,,,,,,,,,,,,,,4,357250,135,135,40000
"Media and Communication Workers, All Other",41140.45663,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,50000,Office,,,,,,,,,,,,,,,,,5,22250,1,1,50000
Marriage and Family Therapists,56969.0883,162,1199,404,1084,Community and Social Service,Job can be made virtual,50300,Office,0.728494624,24,1290,1098,335,936,82,0.059766764,23000,42100,483,626,31,"(124.0, 20124.0]",1,"(28500, 31000]",5,24750,2,2,50000
Interpreters and Translators,86621.89284,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,50300,Office,,,,,,,,,,,,,,,,,5,27250,3,3,50000
Bridge and Lock Tenders,4799.393985,,,,,Transportation and Material Moving,"Cannot work remotely, essential",50300,Industrial,,,,,,,,,,,,,,,,,5,29750,4,4,50000
Environmental Engineering Technicians,18435.10763,113,1106,476,209,Architecture and Engineering,"Cannot work remotely, essential",50400,Industrial,0.305109489,4,613,488,185,383,0,0,18500,44000,355,144,0,"(124.0, 20124.0]",1,"(33500, 36000]",5,32250,5,5,50000
Interior Designers,79402.60693,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,50400,Office,,,,,,,,,,,,,,,,,5,34750,6,6,50000
Riggers,23877.44641,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",50400,Industrial,,,,,,,,,,,,,,,,,5,37250,7,7,50000
"Camera Operators, Television, Video, and Motion Picture",27078.34502,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,50600,Industrial,,,,,,,,,,,,,,,,,5,39750,8,8,50000
Paralegals and Legal Assistants,323139.266,,,,,Legal Occupations,Job can be conducted virtually,50700,Office,,,,,,,,,,,,,,,,,5,42250,9,9,50000
"Mobile Heavy Equipment Mechanics, Except Engines",163346.7786,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",50700,Industrial,,,,,,,,,,,,,,,,,5,44750,10,10,50000
Exercise Physiologists,12557.54323,,,,,Healthcare Practitioners and Technical,Job can be made virtual,50800,Institutional,,,,,,,,,,,,,,,,,5,47250,11,11,50000
Occupational Health and Safety Technicians,18661.61199,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",50800,Institutional,,,,,,,,,,,,,,,,,5,49750,12,12,50000
Computer User Support Specialists,717614.979,75,5003,32923,33607,Computer and Mathematical,Job can be conducted virtually,50900,Office,0.505140538,353,48535,39509,15066,29910,2769,0.0539724,30000,49900,30382,14718,4288,"(60124.0, 80124.0]",1,"(38500, 41000]",5,52250,13,13,50000
Private Detectives and Investigators,39846.95646,,,,,Protective Service,Job can be made virtual,50900,Office,,,,,,,,,,,,,,,,,5,54750,14,14,50000
Farm and Home Management Advisors,10514.81779,,,,,"Education, Training, and Library",Job can be conducted virtually,51000,Office,,,,,,,,,,,,,,,,,5,57250,15,15,50000
Tapers,24732.48311,,,,,Construction and Extraction,"Cannot work remotely, essential",51000,Industrial,,,,,,,,,,,,,,,,,5,59750,16,16,50000
Advertising Sales Agents,158548.2921,,,,,Sales and Related,Job can be conducted virtually,51100,Office,,,,,,,,,,,,,,,,,5,62250,17,17,50000
"Mining Machine Operators, All Other",3565.190787,,,,,Construction and Extraction,"Cannot work remotely, essential",51100,Industrial,,,,,,,,,,,,,,,,,5,64750,18,18,50000
"Drafters, All Other",15962.14001,108,1303,8617,5156,Architecture and Engineering,Job can be conducted virtually,51200,Industrial,0.374355623,152,11797,10722,2613,6954,842,0.066619195,25000,42000,4333,5808,1405,"(124.0, 20124.0]",1,"(33500, 36000]",5,67250,19,19,50000
Respiratory Therapy Technicians,10298.21759,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",51200,Institutional,,,,,,,,,,,,,,,,,5,69750,20,20,50000
Insurance Sales Agents,837528.3717,,,,,Sales and Related,Job can be conducted virtually,51300,Office,,,,,,,,,,,,,,,,,5,72250,21,21,50000
Wind Turbine Service Technicians,8424.950106,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",51300,Industrial,,,,,,,,,,,,,,,,,5,74750,22,22,50000
Brokerage Clerks,56132.55636,,,,,Office and Admin Support,Job can be conducted virtually,51400,Office,,,,,,,,,,,,,,,,,5,77250,23,23,50000
"Morticians, Undertakers, and Funeral Directors",27508.5078,,,,,Personal Care and Service,"Cannot work remotely, essential",51700,Retail/Services,,,,,,,,,,,,,,,,,5,79750,24,24,50000
Archivists,7874.587802,,,,,"Education, Training, and Library",Job can be made virtual,51800,Institutional,,,,,,,,,,,,,,,,,5,82250,25,25,50000
Musicians and Singers,193811.4976,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,51900,Other/Mixed,,,,,,,,,,,,,,,,,5,84750,26,26,50000
"Plumbers, Pipefitters, and Steamfitters",507758.9658,,,,,Construction and Extraction,"Cannot work remotely, essential",52100,Industrial,,,,,,,,,,,,,,,,,5,87250,27,27,50000
Industrial Machinery Mechanics,375504.1035,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",52100,Industrial,,,,,,,,,,,,,,,,,5,89750,28,28,50000
"Refractory Materials Repairers, Except Brickmasons",1019.458856,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",52200,Industrial,,,,,,,,,,,,,,,,,5,92250,29,29,50000
Airfield Operations Specialists,12644.44705,,,,,Transportation and Material Moving,"Cannot work remotely, essential",52200,Industrial,,,,,,,,,,,,,,,,,5,94750,30,30,50000
Clinical Laboratory Technologists and Technicians,329781.9405,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",52300,Institutional,,,,,,,,,,,,,,,,,5,97250,31,31,50000
Civil Engineering Technicians,76072.93054,110,4000,2817,9479,Architecture and Engineering,"Cannot work remotely, essential",52400,Industrial,0.770901106,128,9821,8032,3173,6234,749,0.070860927,25000,44000,5176,3903,1061,"(124.0, 20124.0]",1,"(33500, 36000]",5,99750,32,32,50000
Multimedia Artists and Animators,47906.09575,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,52600,Office,,,,,,,,,,,,,,,,,5,102250,33,33,50000
"Rail Yard Engineers, Dinkey Operators, and Hostlers",6132.214431,,,,,Transportation and Material Moving,"Cannot work remotely, essential",52600,Industrial,,,,,,,,,,,,,,,,,5,104750,34,34,50000
Tool and Die Makers,74389.85954,,,,,Production,"Cannot work remotely, essential",52700,Industrial,,,,,,,,,,,,,,,,,5,107250,35,35,50000
